program,genes,size,active_in,name,description
P62,"Trp63, Wnt6, Cxcl14, Sostdc1, Perp, Sfn, Krt7, Fermt1, Cldn4, Epcam, Esrp1, Cdh1, Krt5, Grhl2, Gjb3, Kremen2, Ap1m2, Ntf5, Rab25, Tacstd2, Cldn3, Crb3, Prss8, Gjb2, Adamts18, Mpzl2, Tmem54, Mapk13, Gm16136, Wnt3, Npnt, Bcam, Lypd6b, St14, Wnt4, Espn, Mir205hg, Ccdc68, Cdcp1, Ppl, Cdh3, Spint1, Barx2, Sp6, Marveld2, Pdgfa, Krt14, Frem2, Atp2c2, Acer2, Dsp, Prss22, Jag2, Il17re, Kcnk1, Itga3, Grb7, Cpz, Ass1, Arhgef16, Galnt18, Cgn, Ocln, Exph5, F11r, Lad1, Irf6, Eps8l2, Arhgap8, Pdlim1, Rasef, Fmn1, Card10, Rab27b, Pls1, Rab15, Rnf43, Ovol2, Lamc2, Macc1, Ifitm3, Susd4, Upk3bl, Lmo7, Ikzf2, Fam83b, Arhgef5, Gprc5c, Mctp2, Sh3gl2, Lama5, Jup, Atp8b1, 2310002F09Rik, Patj, Hpn, Gm56906, Fras1, Col18a1",99,"Amniotic ectoderm, Epibranchial placode, Epidermal progenitor, Lens placode, Midgut, Pharyngeal endoderm, Pre-placodal ectoderm, Surface ectoderm, Trigeminal placode",Surface Ectoderm Identity,"Defines the surface ectoderm and stratified epithelial fate driven by master regulator Trp63, along with Grhl2, Ovol2, and Irf6. The program establishes epithelial architecture through extensive cell junction (Cdh1, Dsp, Jup, claudins, occludin), desmosomal (Perp, Ppl), and basement membrane (Lama5, Lamc2, Fras1) components, while Esrp1 enforces epithelial splicing and keratins (Krt5, Krt14, Krt7) provide cytoskeletal identity. Active across surface ectoderm derivatives—epidermal progenitors, cranial placodes, and amniotic ectoderm—as well as epithelialized endoderm, reflecting a shared program for non-neural ectoderm specification and epithelial barrier formation."
P63,"Nepn, Fabp1, Rfx6, Tdh, Ihh, Apela, Lgals2, Tspan8, Cpm, Dio3, Enpp1, Ffar4, Pdzk1ip1, Gpr39, B4galnt2, Ang, Hkdc1, Rcan2",18,"Midgut, Visceral endoderm",Midgut Endoderm Identity,"Defines midgut endoderm specification and early epithelial differentiation. Key features include the gut endocrine transcription factor Rfx6, Indian Hedgehog (Ihh) signaling from the gut epithelium, and nutrient-sensing/lipid metabolism genes (Fabp1, Ffar4, Gpr39, Hkdc1) characteristic of emerging absorptive identity. Activity in visceral endoderm reflects shared transcriptional signatures between visceral and definitive gut endoderm lineages."
P64,"Ambp, Fgb, Serpinf2, Habp2, Fgg, Nr5a2, Foxa3, Plg, Trf, Akr1c19, Hnf4a, Gulo, Spp2, Il1r1, Apoa2, Paqr9, Slc2a2",17,"Hepatoblast, Visceral endoderm",Hepatoblast Identity,"Defines early hepatocyte specification driven by the master hepatic transcription factors Hnf4a, Foxa3, and Nr5a2. The program activates a broad suite of liver secretory products including coagulation factors (Fgb, Fgg, Plg, Serpinf2), serum proteins (Ambp, Trf, Apoa2), and hepatic metabolic enzymes (Gulo, Slc2a2, Akr1c19). Its activity in both hepatoblasts and visceral endoderm reflects the shared HNF4A-dependent transcriptional identity of these two lineages."
P65,"Lrp2, Map7, Igfbp2, Dab1, Ston2, Wwc1, Tpd52, Plekha7, Hook1, Cmtm8, H2-D1, Emb, Mbp, Ezr, Kank1",15,"Amniotic ectoderm, Definitive endoderm, Epiblast, Epibranchial placode, Epidermal progenitor, Extraembryonic ectoderm, Forebrain, Foregut, Gut, Hindbrain, Hindgut, Lens placode, Midgut, Olfactory placode, Olfactory sensory neuron, Otic placode, Pharyngeal endoderm, Pre-placodal ectoderm, Primordial germ cell, Rostral ectoderm, Surface ectoderm, Trigeminal placode, Visceral endoderm",Apical Epithelial Polarity,"Establishes apical membrane identity and receptor-mediated endocytosis in polarized epithelia. The Lrp2–Dab1 endocytic axis, vesicle trafficking components (Ston2, Hook1, Tpd52), and apical scaffold/polarity factors (Ezr, Plekha7, Wwc1, Kank1) collectively organize the apical surface for morphogen uptake and signal modulation. Its broad activity across ectoderm, endoderm, and placodal epithelia reflects a shared requirement for apical-basal polarity during early organogenesis."
P66,"Lefty2, Utf1, Mesp1, Eomes, L1td1, Platr10, ENSMUSG00000144146, Psors1c2, Zscan10, Dppa5a, Bst2",11,"Epiblast, Extraembryonic ectoderm, Nascent mesoderm, Primitive streak, Primordial germ cell, Rostral ectoderm",Epiblast-Streak Transition,"Captures the transition from pluripotent epiblast through the primitive streak during gastrulation. This program combines core pluripotency factors (Utf1, Dppa5a, Zscan10, L1td1, Platr10) with key gastrulation drivers (Eomes, Mesp1, Lefty2), reflecting the gene regulatory state of epiblast cells as they undergo EMT and ingress through the streak to form nascent mesoderm. Its activity in primordial germ cells is consistent with PGC reactivation of the pluripotency network."
P67,"Ccdc198, Cpn1, Pcsk9, Galntl6, Fgfr4, Hnf1b, Hnf1aos1, Pcbd1",8,"Foregut, Gut, Hepatoblast, Hindgut, Midgut, Visceral endoderm",HNF1 Endoderm Identity,"HNF1-driven transcriptional program active across endoderm-derived gut and hepatic lineages. Hnf1b is the central transcription factor, supported by its cofactor Pcbd1 and the regulatory antisense transcript Hnf1aos1, while downstream targets include liver- and gut-enriched genes such as Fgfr4, Pcsk9, and Cpn1. This program likely establishes and maintains pan-endodermal identity during gut tube regionalization and early hepatoblast specification."
P68,"Dlx5, Dlx6, Gad2, Dlx6os1, Dlx3",5,"Olfactory placode, Olfactory sensory neuron, Pre-placodal ectoderm",Dlx Olfactory Placode,"Dlx family transcription factor program driving olfactory placode specification and sensory neuron differentiation. Dlx3/5/6 and the regulatory lncRNA Dlx6os1 form a coherent module for placodal identity, while Gad2 reflects downstream GABAergic neuron fate specification characteristic of Dlx-dependent neurogenesis in the olfactory epithelium."
P69,"Foxi2, Galnt3, Ctxn3, Ripply3, Cldn9",5,Epibranchial placode,Foxi2+ Epibranchial Placode,"Defines epibranchial placode identity through the pioneer transcription factor Foxi2, a master regulator of cranial placode specification, combined with epithelial junction and glycosylation genes (Cldn9, Galnt3) that establish placodal epithelial character. Ripply3, a transcriptional repressor involved in pharyngeal segmentation, links this program to branchial arch patterning cues that position epibranchial placodes adjacent to pharyngeal clefts."
P70,"Fosb, Egr1, Zfp36, Fos, Junb",5,"Extraembryonic ectoderm, Lens placode, Macrophage, Megakaryocyte, Trigeminal placode",IEG/AP-1 Response,"Immediate early gene (IEG) response program centered on AP-1 transcription factor components (Fos, Fosb, Junb) along with the early-response transcription factor Egr1 and the mRNA decay factor Zfp36/TTP. This program reflects rapid, transient transcriptional activation in response to growth factors, cytokines, or stress signals, and its activity across diverse cell types is consistent with a generic stimulus-response module rather than a lineage-specific identity program."
P71,"Vgll2, Nkx2-6, Plet1, Prdm1",4,"Epibranchial placode, Midgut, Myotome, Pharyngeal endoderm, Primordial germ cell",Prdm1 Fate Specification,"Prdm1 (Blimp1)-centered program for cell fate specification across multiple lineages. Prdm1 and Nkx2-6 jointly drive pharyngeal endoderm and epibranchial placode patterning, while Vgll2 marks myotomal commitment and Plet1 labels specified progenitors including primordial germ cells. The program unifies Prdm1's repeated deployment as a fate-locking transcriptional repressor in pharyngeal apparatus development, PGC specification, and gut endoderm."
P72,"Sema3d, Met, Hs6st3, Pdgfc",4,"Epibranchial placode, Epidermal progenitor, Hypaxial myogenic progenitor, Myotome, Trigeminal placode",Migration/Guidance Signaling,"Encodes a cell migration and guidance signaling module combining receptor tyrosine kinase signaling (Met, Pdgfc), semaphorin-mediated guidance (Sema3d), and heparan sulfate modification (Hs6st3) that tunes growth factor availability. This program is active in cell populations that undergo delamination and long-range migration during development, including hypaxial muscle precursors (where Met is classically required for emigration from the dermomyotome), cranial placode neurons that delaminate and migrate to form sensory ganglia, and epidermal progenitors undergoing morphogenetic movements."
P73,"Phox2b, Hopx, Nmnat2, Heyl, Phox2a, Itga4, Gm2102, Npr3, Ccl6, Rgcc, BC006965, Ngfr, Enpp2, Fam210b, Rflna, Ret, Gm33152, Gfra2, Fam89a, Inpp4b, 1700019D03Rik, Tmem132e, Gap43, Tmeff2, Camk2b, Egflam, 2610204G07Rik, Fhdc1, Fam110d, Mgll, Pcdh1, Pxdc1, Sdc3, Sntb1, Arhgef26, Cdc42ep1, Prickle2, Pde4b, Gadd45a, Dusp5",40,"Autonomic neuron, Autonomic progenitor, Cranial neural crest, Sacral neural crest, Trunk neural crest, Vagal neural crest",Phox2 Autonomic Neuron,"Defines autonomic neuron specification from neural crest progenitors, driven by the master transcription factors Phox2b and Phox2a together with GDNF/RET/Gfra2 signaling. This program activates across all neural crest axial populations and their autonomic derivatives, promoting neuronal differentiation (Gap43, Nmnat2, Camk2b), cell migration (Itga4), and neurotrophic receptor expression (Ngfr, Ret) essential for sympathetic, parasympathetic, and enteric neuron development."
P74,"Sox10, Cdh19, Tfap2b, Foxd3, Tfap2a, Erbb3, Gm12688, ENSMUSG00000122671, Tnik, Luzp2, Cdh6, Plcg2, Grik2, Phactr1, Cotl1",15,"Autonomic neuron, Autonomic progenitor, Cranial neural crest, Dorsal root ganglion progenitor, Sacral neural crest, Trunk neural crest, Vagal neural crest",Neural Crest Identity,"Core neural crest specification and identity program driven by the master regulators Sox10, Foxd3, Tfap2a, and Tfap2b. Active across all neural crest populations (cranial, trunk, vagal, sacral) and their peripheral nervous system derivatives, with Erbb3 and Cdh19 supporting migration and cell-cell adhesion. This program defines the shared transcriptional identity of the neural crest lineage as it diversifies into autonomic neurons, sensory progenitors, and migratory crest populations."
P75,"Insc, Ndst3, Prdm12, Gfra1, Nkain4, Lgi4",6,"Autonomic neuron, Autonomic progenitor, Dorsal root ganglion neuron, Dorsal root ganglion progenitor, Epibranchial sensory neuron, Midbrain neuron, Otic sensory neuron, Trigeminal ganglion neuron, Trigeminal sensory neuron, Trunk neural crest, Vagal neural crest",PNS Neuron Specification,"Specifies peripheral nervous system neuron identity across neural crest-derived sensory and autonomic lineages. Prdm12 is a master transcription factor for somatosensory (particularly nociceptor) neuron fate, while Gfra1 (GDNF receptor) mediates neurotrophic signaling essential for sensory and autonomic neuron survival and differentiation. Lgi4 promotes peripheral nerve maturation, and Insc regulates asymmetric division during neurogenesis, together defining a shared program for peripheral neuron specification from trunk/vagal neural crest through cranial and spinal ganglia."
P76,"Mef2c, Plxna4, Adam12, Pde7b, Lama4, Mcam",6,"Arterial endothelial cell, Autonomic neuron, Autonomic progenitor, Cranial neural crest, Endocardial cell, Endothelial cell, Endothelial progenitor, Epicardium",Mef2c Vascular Morphogenesis,"Mef2c-driven program active across endothelial, endocardial, epicardial, and neural crest lineages during cardiovascular morphogenesis. The combination of vascular ECM components (Lama4, Mcam), a metalloprotease (Adam12), and semaphorin receptor guidance (Plxna4) points to a role in vascular remodeling and patterning, unifying cell types that contribute to heart and great vessel development including neural crest-derived autonomic and smooth muscle progenitors."
